=== Información de circuitos ejecutados ===
Circuito: e0_b0_t126.py | Registros clásicos: c768 - c773 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t128.py | Registros clásicos: c774 - c779 | Iteración: 1 | Batch: 5
Circuito: e0_b0_t131.py | Registros clásicos: c780 - c785 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t130.py | Registros clásicos: c786 - c791 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t133.py | Registros clásicos: c792 - c797 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t132.py | Registros clásicos: c798 - c803 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t135.py | Registros clásicos: c804 - c809 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t134.py | Registros clásicos: c810 - c815 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t137.py | Registros clásicos: c816 - c821 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t139.py | Registros clásicos: c822 - c827 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t136.py | Registros clásicos: c828 - c833 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t138.py | Registros clásicos: c834 - c839 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t141.py | Registros clásicos: c840 - c845 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t140.py | Registros clásicos: c846 - c851 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t143.py | Registros clásicos: c852 - c857 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t145.py | Registros clásicos: c858 - c863 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t142.py | Registros clásicos: c864 - c869 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t147.py | Registros clásicos: c870 - c875 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t144.py | Registros clásicos: c876 - c881 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t149.py | Registros clásicos: c882 - c887 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t146.py | Registros clásicos: c888 - c893 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t151.py | Registros clásicos: c894 - c899 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t148.py | Registros clásicos: c900 - c905 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t150.py | Registros clásicos: c906 - c911 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t153.py | Registros clásicos: c912 - c917 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t152.py | Registros clásicos: c918 - c923 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t155.py | Registros clásicos: c924 - c929 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t154.py | Registros clásicos: c930 - c935 | Iteración: 1 | Batch: 6
Circuito: e0_b0_t157.py | Registros clásicos: c936 - c941 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t159.py | Registros clásicos: c942 - c947 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t156.py | Registros clásicos: c948 - c953 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t158.py | Registros clásicos: c954 - c959 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t160.py | Registros clásicos: c960 - c965 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t162.py | Registros clásicos: c966 - c971 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t164.py | Registros clásicos: c972 - c977 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t161.py | Registros clásicos: c978 - c983 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t166.py | Registros clásicos: c984 - c989 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t163.py | Registros clásicos: c990 - c995 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t168.py | Registros clásicos: c996 - c1001 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t165.py | Registros clásicos: c1002 - c1007 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t170.py | Registros clásicos: c1008 - c1013 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t167.py | Registros clásicos: c1014 - c1019 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t169.py | Registros clásicos: c1020 - c1025 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t172.py | Registros clásicos: c1026 - c1031 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t174.py | Registros clásicos: c1032 - c1037 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t171.py | Registros clásicos: c1038 - c1043 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t173.py | Registros clásicos: c1044 - c1049 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t176.py | Registros clásicos: c1050 - c1055 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t178.py | Registros clásicos: c1056 - c1061 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t175.py | Registros clásicos: c1062 - c1067 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t180.py | Registros clásicos: c1068 - c1073 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t177.py | Registros clásicos: c1074 - c1079 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t179.py | Registros clásicos: c1080 - c1085 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t181.py | Registros clásicos: c1086 - c1091 | Iteración: 1 | Batch: 7
Circuito: e0_b0_t182.py | Registros clásicos: c1092 - c1097 | Iteración: 1 | Batch: 8
